ID,NameProduct,Price,StrPrice,Type,Title,Description,Details1,Details2,Details3,Details4,Details5,Details6,Details7,Details8,Details9,Details10
1,Elder ring [Collector's Edition],18000,"18,000",Box Set,Game,"The Golden Order has been broken. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between. ELDEN RING, developed by FromSoftware Inc. and produced by BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG and FromSoftware’s largest game to date, set within a world full of mystery and peril. A NEW FANTASY WORLD - Journey through the Lands Between, a new fantasy world created by Hidetaka Miyazaki, creator of the influential DARK SOULS video game series, and George R. R. Martin, author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Unravel the mysteries of the Elden Ring’s power. Encounter adversaries with profound backgrounds, characters with their own unique motivations for helping or hindering your progress, and fearsome creatures. WORLD EXPLORATION IN THE LANDS BETWEEN - ELDEN RING features vast fantastical landscapes and shadowy, complex dungeons that are connected seamlessly. Traverse the breathtaking world on foot or on horseback, alone or online with other players, and fully immerse yourself in the grassy plains, suffocating swamps, spiraling mountains, foreboding castles and other sites of grandeur on a scale never seen before in a FromSoftware title. GENRE-DEFINING GAMEPLAY - Create your character in FromSoftware’s refi ned action-RPG and defi ne your playstyle by experimenting with a wide variety of weapons, magical abilities, and skills found throughout the world. Charge into battle, pick off enemies one-by-one using stealth, or even call upon allies for aid. Many options are at your disposal as you decide how to approach exploration and combat. A free upgrade to the PlayStation 5 version will be available for players who purchase ELDEN RING on PlayStation 4, and SmartDelivery will be supported for Xbox One and Xbox Series X|S.",The ELDEN RING Collector’s Edition includes,Physical ELDEN RING game disc,9-inch statue of Malenia – Blade of Miquella,Exclusive SteelBook featuring the Elden Ring,40-page hardcover art book,Digital Soundtrack,,,,
2,Sekiro Shadows Die Twice Collector's Edition,15099,"15,099",Box Set,Game,"In Sekiro: Shadows Die Twice you are the “one-armed wolf”, a disgraced and disfigured warrior rescued from the brink of death. Bound to protect a young lord who is the descendant of an ancient bloodline, you become the target of many vicious enemies, including the dangerous Ashina clan. When the young lord is captured, nothing will stop you on a perilous quest to regain your honor, not even death itself.;Number of Players: 1 player; ESRB Content: Blood and gore|Violence; Genre: Action and Adventure",Sekiro: Shadows Die Twice Collector's Edition includes,Full Game,Steelbook,"7"" Shinobi Statue",Map,Replica Game Coins,Digital Soundtrack,Collectible Artbook,,
3,Monster Hunter: World [Collector's Edition],11690,"11,690",Box Set,Game,"Monster Hunter is an action RPG series that puts you in the boots of a hunter, facing off against gigantic monsters in magnificent, lush environments. As a hunter, you'll take on quests to hunt monsters in a variety of habitats. Takedown these monsters and receive materials that you can use to create stronger weapons and armor in order to hunt even more dangerous monsters. The series has achieved worldwide sales of over 40 million units, thanks to the ability to play by yourself or with other players co-operatively. In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.",Monster Hunter: World Collector's Edition includes,PS4 Game: Monster Hunter World,Deluxe DLC,Nergigante Figure (Size: W140mm×D170mm×H125mm),Monster Hunter World Special Soundtrack,Monster Hunter World Artbook: Monster Designs,,,,
4,Monster Hunter World: Iceborne [Master Edition] (Collector's Edition),6799,"6,799",Box Set,Game,"Discover breathtaking environments and battle titanic creatures in this collection that includes Monster Hunter: World and its massive expansion, Iceborne. As a hunter, you'll take on quests to track & slay monsters in a variety of living, breathing habitats. Takedown these monsters and use their materials to forge even more powerful weapons and armor, then prepare for even tougher foes as the story unfolds. Each discovery adds new areas, creatures, and drama to the adventure! The Iceborne expansion adds new monsters, gear and abilities to Monster Hunter: World. Picking up right where the base game left off, the Research Commission and your hunter set off to a new polar region, kicking off a brand-new story set in Hoarfrost Reach. Conquer these missions alone, or play online with other hunters for epic multiplayer quests.",Monster Hunter World: Iceborne [Master Edition] (Collector's Edition) includes,PS4 Game: Monster Hunter World Iceborne [Master Edition],Velkhana Figure,MHW: Iceborne Steelbook,MHW: Iceborne Artbook,MHW: Iceborne Soundtrack,MHW: Iceborne Metal Plate,,,
5,Ender Lilies: Quietus of the Knights Collector's Edition,2499,"2,499",Box Set,Game,"ENDER LILIES is a dark fantasy 2D action RPG that sees the players try to unravel the mystery of the kingdom destroyed by the Rain of Death.Players will journey through the sprawling and hauntedly beautiful locations of Land’s End, including submerged forest, a sealed-off contaminated underground cavern, and a grand castle.",Ender Lilies: Quietus of the Knights Collector's Edition includes,Physical Copy of ENDER LILIES: Quietus of the Knights for PS4,ENDER LILIES: Quietus of the Knights Original Soundtrack,"18""x 24"" Reversible ENDER LILIES: Quietus of the Knights Poster",ENDER LILIES: Quietus of the Knights Enamel Pin,,,,,
6,Little Witch Nobeta [Limited Edition] (English),4999,"4,999",Box Set,Game,"Nobeta, the little wonder, came to the castle alone to solve the mystery of her own life. Constantly challenging powerful crafted souls, she learned all kinds of magical abilities and befriended a mysterious little black cat. What secrets hide in the depths of the castle? The Little Witch Nobeta is a 3D action shooting game. Players will explore ancient, unknown castles and use different magic elements to fight against the soul! The game uses a comfortable Japanese art style, but the battles are quite challenging despite its cute looks. Underestimating your foes will lead to troublesome encounters. You must discover enemies' weaknesses and learn the precise time to dodge attacks in order to gain an advantage in combat.",Little Witch Nobeta [Limited Edition] includes,PS4 Game: Little Witch Nobeta,Special Illustrated Box,Script with Autograph,B2 Tapestry,Art book,Soundtrack CD,,,
7,NieR: Replicant ver.1.22474487139... White Snow Edition,5999,"5,999",Box Set,Game,"In a distant, distant future, humanity is on the brink of extinction. A black scrawl disease and strange beasts threaten the world. A young kindhearted boy makes a promise to his little sister. A thousand-year lie that would live on for eternity...",NieR: Replicant ver.1.22474487139... White Snow Edition includes,"Grimoire Pin Set – Grimoire Weiss, Grimoire Noir, and Grimoire Rubrum pins which come presented in a specialized display case.","Script Set – A set of seven books encompassing the spoken script of the game. Packaged in a special hard case, featuring covers art by character designer, Akihiko Yoshida.","Special Soundtrack – A two-disc collection featuring newly-edited and arranged music for NieR Replicant ver.1.22474487139..., presented in a premium Grimoire Weiss-inspired package.",Steelbook® Case – A metal case featuring stunning artwork by illustrator Koda Kazuma.,Lunar Tear Collector’s Box.,,,,
8,Persona 5 Royal: Phantom Thieves,13409,"13,409",Box Set,Game,"In a distant, distant future, humanity is on the brink of extinction. A black scrawl disease and strange beasts threaten the world. A young kindhearted boy makes a promise to his little sister. A thousand-year lie that would live on for eternity...",Persona 5 Royal: Phantom Thieves includes,Collector's Box,PS4 Game: Persona 5 Royal,Joker Mask with Stand,Steelbook,Soundtrack,Artbook,Dynamic PS4 Theme (*While supplies last.),,
9,Death Stranding - PlayStation 4 Collector's Edition,9619,"9,619",Box Set,Game,"From legendary game creator Hideo Kojima comes an all-new, genre-defying experience for the PlayStation 4. Sam Bridges must brave a world utterly transformed by the Death Stranding. Carrying the disconnected remnants of our future in his hands, he embarks on a journey to reconnect the shattered world one step at a time. With spectral creatures plaguing the landscape, and humanity on the verge of a mass extinction, it’s up to Sam to journey across the ravaged continent and save mankind from impending annihilation. What is the mystery of the Death Stranding? What will Sam discover on the road ahead? An unprecedented gameplay experience holds these answers and more. Starring Norman Reedus, Mads Mikkelsen, Léa Seydoux, and Lindsay Wagner.",DEATH STRANDING Collector’s Edition includes,DEATH STRANDING Full Game,DEATH STRANDING Steelbook Case,Full-sized BB Pod Statue,Ludens Keychain,BRIDGES Cargo Case,,,,
10,DOOM Eternal: Collector's Edition,5999,"5,999",Box Set,Game,"Developed by id Software, DOOM Eternal is the direct sequel to the award-winning and best-selling DOOM (2016). As the DOOM Slayer, you return to find Earth has suffered a demonic invasion. Raze Hell and discover the Slayer's origins and his enduring mission to rip and tear. Until it is done. Experience the ultimate combination of speed and power as you battle your way across dimensions with the next leap in push-forward, first-person combat. Collector's Edition The ultimate bundle for any DOOM fan, the Collector’s Edition contains a Deluxe Edition copy of DOOM Eternal and an incredible assortment of goods highlighted by a wearable DOOM Slayer’s helmet – a sight that makes Hell itself shudder in fear!",DOOM Eternal: Collector's Edition includes,A Deluxe Edition copy of DOOM Eternal in an exclusive Steel book case custom designed by graphic designer and illustrator Gabz in collaboration with Mondo.,"A full-sized, wearable DOOM Slayer Helmet replica","A playable cassette tape, plus download codes for lossless digital copies of Mick Gordon’s DOOM (2016) and DOOM Eternal original soundtracks.",DOOM Lore Book with custom artwork by id Software.,“The Gift of Argent Power” 11” x 17” Lithograph.,,,,
11,God of War Ragnarök – Jötnar Edition,9999,"9,999",Box Set,Game,"The God of War Ragnarök Jötnar Edition is a premium selection of items designed with care by our team here at Santa Monica Studio to be a collector’s set worthy of our amazing fans. You’ve seen it unboxed in the video above, but we’ll also run you through its contents here.",God of War Ragnarök – Jötnar Edition includes,Printed voucher code for the full God of War Ragnarök game on PlayStation 4 and PlayStation 5 consoles.,7-Inch Vinyl Record with music by Bear McCreary – This includes two tracks from composer Bear McCreary.,"The Falcon, Bear, and Wolf Pin Set – Representing Faye, Kratos, and Atreus respectively, this pin set symbolizes our heroes’ family.","The Legendary Draupnir Ring – A ring from Norse Mythology, the Legendary Draupnir Ring comes in a red cloth bag.",Brok’s Dice Set – This dice set comes with a metallic silver finish with blue detailing. The dice bag features the Huldra Brothers’ brand.,Yggdrasil Cloth Map – This cloth map shows each of the Nine Realms within the branches and roots of Yggdrasil.,A Steelbook Display Case (no game disc included),2” Vanir Twins Carvings,16” Mjölnir Replica
12,ARKNIGHTS | FOOD-THEMED PLUSHIE SET | THANK-YOU CELEBRATION 2022,1719,"1,719",Merchandise,Doll,"This adorable food-themed plushie set features Ceobe with a muffin, her favorite food. Bring this adorable companion on trips or to show off to your friends.",Product Details:,Type: Ceobe,Size: 30x16x21cm / 11.8x6.3x8.3in,"Material: Polyester Fibers, Cotton Filling",,,,,,
13,ARKNIGHTS | PENGUIN LOGISTICS PLUSHIE,769,769,Merchandise,Doll,PENGUIN LOGISTICS Doll,Product Details:,Type: Exusiai,Size: Sitting Height 15 cm / 5.9 in,Material: Polyester,,,,,,
14,ARKNIGHTS | BITEY PLUSHIE | 1.5 ANNIV,1219,"1,219",Merchandise,Doll,"Bitey, the Ink Spirit named by the painter herself from the event - Who Is Real. Take it home with you now!",Product Details:,Type: Bitey,Size: 23.5x18x14.5 cm / 9.3x7.1x5.7 in,"Material: Polyester Fibers, Cotton Filling",,,,,,
15,ARKNIGHTS | DRESS-UP PLUSHIE | 2.5 ANNIV | Ling,1719,"1,719",Merchandise,Doll,"Ling come to life in adorable plush form. Now, you can decide how they dress up.",Product Details:,Type: Ling,Size: 16×32cm / 6.3×12.6in,"Material: Polyester Fibers, Cotton Filling",,,,,,
16,ARKNIGHTS | DRESS-UP PLUSHIE | 2.5 ANNIV | Nian,1719,"1,719",Merchandise,Doll,"Nian come to life in adorable plush form. Now, you can decide how they dress up.",Product Details:,Type: Nian,Size: 16×32cm / 6.3×12.6in,"Material: Polyester Fibers, Cotton Filling",,,,,,
17,ARKNIGHTS | DRESS-UP PLUSHIE | 2.5 ANNIV | Dusk,1719,"1,719",Merchandise,Doll,"Dusk come to life in adorable plush form. Now, you can decide how they dress up.",Product Details:,Type: Dusk,Size: 16×32cm / 6.3×12.6in,"Material: Polyester Fibers, Cotton Filling",,,,,,
18,ARKNIGHTS | CHIBI CHARACTERS CUP | 2.5 ANNIV,689,689,Merchandise,Glass,This cup features our 2.5 Anniversary characters. Take them along on your next adventure.,Product Details:,Type: Chibi Characters Mug,"Size: 9.8×8.8cm / 3.9×3.5in, 450ml / 15.2oz",Material: Glass,,,,,,
19,ARKNIGHTS | CHIBI CHARACTERS MUG AND COASTER | 1.5 ANNIV,1449,"1,449",Merchandise,Glass,"This product comes with two items, a chibi characters mug and a heat-sensitive coaster. From the event - Who Is Real, the color on the center section of the coaster can be turned from black to white with hot water poured on it. (check the GIF from the displayed pictures) The heat-sensitive coaster is HAND WASH ONLY and NOT microwave/dishwasher safe. The mug is microwave/dishwasher safe.",Product Details:,Type: Who Is Real,"Size: Mug: 8.5x9 cm / 3.3x3.5 in, Coaster: 10x10 cm / 3.9x3.9 in","Material: Porcelain, Acrylic",,,,,,
20,ARKNIGHTS | DIM MAK COLLECTION | BASEBALL HAT,1339,"1,339",Merchandise,Etc.,"The official Dim Mak x Arknights Collaboration. Dim Mak started off as a record label in very DIY fashion, by any means necessary. The Essential apparel, made by Dim Mak Collection, is an ode to the history of our movement since 1996. Always keep the Essentials with you. Now collaborating with Arknights, the Baseball Hat features: Traditional styled fit. ,",Product Details:,Fabric: 100% Cotton,,,,,,,,
21,ARKNIGHTS | 2ND ANNIVERSARY VACATION KIT,2779,"2,779",Merchandise,Etc.,"Arknights 2nd Anniversary Dossoles Holiday: Themed Commemoration Box, coming with unique anniversary items packed in an exquisite carrying case. Box Contents: Dossoles Holiday Laser Travel Vouchers, Dossoles Holiday Invitation Letter, Arknights 2nd Anniversary Artbook, Arknights Animation Artworks, Character Pin Set, Dossoles S.P.A. Boutique Stickers, Vacation Towel",Product Details:,Type: Arknights 2nd Anniversary Vacation Kit,Size: 33.5x26x6 cm / 13.2x10.2x2.4 in,,,,,,,
